cryptoName,date,open,close,high,low,average,volume,trade_count,vwap,timestamp
BTC/USD,07/23/2021,32689.1,33708.83,33855.04,31999.99,32927.515,891.55826,28135.0,32877.3683162584,2021-07-23 05:00:00+00:00
BTC/USD,07/24/2021,33724.86,34383.22,34518.0,33562.5,34040.25,889.658537,28590.0,34036.2454764946,2021-07-24 05:00:00+00:00
BTC/USD,07/25/2021,34391.59,38295.07,39764.32,33883.79,36824.055,2017.955086,49688.0,36747.0428336927,2021-07-25 05:00:00+00:00
BTC/USD,07/26/2021,38300.0,36977.92,40567.3,36413.49,38490.395000000004,3974.819824,83940.0,38129.8242712849,2021-07-26 05:00:00+00:00
BTC/USD,07/27/2021,36976.07,39696.1,40354.91,36911.68,38633.295,3334.746042,78649.0,38558.9391084499,2021-07-27 05:00:00+00:00
BTC/USD,07/28/2021,39695.13,39992.64,40917.92,38810.1,39864.009999999995,3374.14022,86675.0,39902.6834951554,2021-07-28 05:00:00+00:00
BTC/USD,07/29/2021,39985.43,39818.53,40650.0,39408.92,40029.46,1436.873181,42458.0,39942.0296648924,2021-07-29 05:00:00+00:00
BTC/USD,07/30/2021,39818.53,41831.83,42416.99,38342.35,40379.67,2242.883349,57759.0,40517.1798063173,2021-07-30 05:00:00+00:00
BTC/USD,07/31/2021,41832.57,42067.31,42610.97,41067.5,41839.235,1403.424506,40338.0,41681.3617267435,2021-07-31 05:00:00+00:00
BTC/USD,08/01/2021,42074.92,39669.64,42169.58,39250.0,40709.79,1934.850029,47595.0,40713.5186771138,2021-08-01 05:00:00+00:00
BTC/USD,08/02/2021,39665.94,38327.39,40464.42,38235.34,39349.88,1778.830348,44321.0,39319.5284686837,2021-08-02 05:00:00+00:00
BTC/USD,08/03/2021,38320.88,37951.49,38805.06,37620.0,38212.53,2061.853402,50757.0,38208.5904562039,2021-08-03 05:00:00+00:00
BTC/USD,08/04/2021,37958.74,39357.93,39969.15,37502.0,38735.575,2386.514786,56872.0,39068.4861983541,2021-08-04 05:00:00+00:00
BTC/USD,08/05/2021,39354.17,40168.01,41414.61,37326.25,39370.43,3598.240831,78479.0,39416.0573542522,2021-08-05 05:00:00+00:00
BTC/USD,08/06/2021,40168.01,43319.48,43954.66,40131.21,42042.935,2524.008284,68081.0,42314.2949887727,2021-08-06 05:00:00+00:00
